timesteps,wall_min,level,episodes_at_level,success_rate,fail_rate,top_failure,final_abs_heading_err,ep_rew_mean
921600,15.63780134121577,V1,76,1.0,0,,0.06411236634119577,285.12713623046875
925696,15.70877038637797,V1,78,1.0,0,,0.06292167613801938,285.6318054199219
929792,15.778918035825093,V1,80,1.0,0,,0.05849315827130441,286.30340576171875
933888,15.845264256000519,V1,82,1.0,0,,0.057567964806051905,286.6673583984375
937984,15.916849891344706,V1,86,1.0,0,,0.05625809356699294,288.4289855957031
942080,15.98667254447937,V1,88,1.0,0,,0.057372262073104585,289.323974609375
946176,16.060004198551177,V1,90,1.0,0,,0.05555095204913402,290.3837585449219
950272,16.135807291666666,V1,94,1.0,0,,0.05529432542805369,291.5800476074219
954368,16.204530437787373,V1,96,1.0,0,,0.053760990931430844,291.94110107421875
958464,16.272989213466644,V1,98,1.0,0,,0.05321870055156305,292.55328369140625
962560,16.34008154074351,V2,0,0.0,0,,nan,292.95721435546875
966656,16.409268375237783,V2,4,1.0,0,,0.04083108951923364,294.0627746582031
970752,16.47732005516688,V2,6,1.0,0,,0.05536656161371667,293.58221435546875
974848,16.543497371673585,V2,8,1.0,0,,0.052553197141188335,293.1244812011719
978944,16.612687679131827,V2,12,1.0,0,,0.06365434104304946,292.3356018066406
983040,16.680316563447317,V2,14,1.0,0,,0.0580845195866923,292.0523681640625
987136,16.750768808523812,V2,16,1.0,0,,0.05659368981512136,292.52386474609375
991232,16.822551993529,V2,18,1.0,0,,0.05681737916190323,292.49786376953125
995328,16.894993690649667,V2,22,1.0,0,,0.061360465831109164,292.49188232421875
999424,16.964951304594674,V2,24,1.0,0,,0.060455747743208686,292.3204040527344
1003520,17.035053606828054,V2,26,1.0,0,,0.06293926541941343,292.2089538574219
1007616,17.10535140434901,V2,28,1.0,0,,0.06058924570822847,292.2178039550781
1011712,17.175342897574108,V2,32,1.0,0,,0.0605928825068659,291.9869079589844
1015808,17.244602259000143,V2,34,1.0,0,,0.06061958201575327,291.576904296875
1019904,17.31363559961319,V2,36,1.0,0,,0.05938303629031131,291.49383544921875
1024000,17.386607519785564,V2,40,1.0,0,,0.05895135441190176,291.12005615234375
1028096,17.454123151302337,V2,42,1.0,0,,0.05977119390353424,291.1879577636719
1032192,17.52083065509796,V2,44,1.0,0,,0.05828032435486197,291.1443176269531
1036288,17.58784384727478,V2,46,1.0,0,,0.057177527391400564,290.958984375
1040384,17.656921847661337,V2,50,1.0,0,,0.0584967396619637,290.6636962890625
1044480,17.72339997291565,V2,52,1.0,0,,0.06010681662475115,290.5904235839844
1048576,17.78870145082474,V2,54,1.0,0,,0.05950460224676299,290.5184631347656
1052672,17.856880791982015,V2,58,1.0,0,,0.06073981077619088,290.1387939453125
1056768,17.923563969135284,V2,60,1.0,0,,0.059333175317043824,290.0081787109375
1060864,17.990416785081226,V2,62,1.0,0,,0.05917267474183326,289.8623962402344
1064960,18.059169987837475,V2,64,1.0,0,,0.06136311260255674,290.216064453125
1069056,18.13024062315623,V2,68,1.0,0,,0.06524968488331816,289.625244140625
1073152,18.196125463644663,V2,70,1.0,0,,0.06601319797382281,289.8862609863281
1077248,18.262490208943685,V2,72,1.0,0,,0.06596289667664394,290.1563415527344
1081344,18.3310617685318,V2,76,1.0,0,,0.0674276953064102,290.0333251953125
1085440,18.396855294704437,V2,78,1.0,0,,0.06980682850596459,290.3089904785156
1089536,18.46668581167857,V2,80,1.0,0,,0.0699702019129294,290.2441711425781
1093632,18.53351184129715,V2,82,1.0,0,,0.07166416797269286,290.3183288574219
1097728,18.60277622540792,V2,86,1.0,0,,0.0730857082525555,289.9043884277344
1101824,18.66911513408025,V2,88,1.0,0,,0.07166827561092752,289.56927490234375
1105920,18.73474875688553,V2,90,1.0,0,,0.07310387506738344,289.2743225097656
1110016,18.80139016310374,V2,92,1.0,0,,0.07252659786910805,289.64501953125
1114112,18.868687323729198,V2,96,1.0,0,,0.07444346044768757,290.2931213378906
1118208,18.936338925361632,V2,98,1.0,0,,0.07462056821480097,290.5527038574219
1122304,19.00036851167679,V3,0,0.0,0,,nan,290.8927307128906
1126400,19.069717796643577,V3,4,1.0,0,,0.04855613985823526,289.4518127441406
1130496,19.135393079121908,V3,6,1.0,0,,0.04739459577237929,289.70501708984375
1134592,19.20192097822825,V3,8,1.0,0,,0.0724481686060161,289.7484130859375
1138688,19.270248329639436,V3,10,1.0,0,,0.07026324105351182,289.90216064453125
1142784,19.341326081752776,V3,14,1.0,0,,0.06956726232492232,290.2386474609375
1146880,19.40800637404124,V3,16,1.0,0,,0.07214397448273113,290.19952392578125
1150976,19.4731658021609,V3,18,1.0,0,,0.07269142422758584,289.4439392089844
1155072,19.541964693864188,V3,22,1.0,0,,0.07492871242257956,289.7632751464844
1159168,19.608233296871184,V3,24,1.0,0,,0.07174662498714961,289.4878845214844
